id;id_wasp;id_secret;frame_type;frame_number;sensor;value;timestamp;sync;raw;parser_type;MeshliumID
2989;WeatherStation;49387063D9374225;134;115;HUM;56.9;"2018-02-21 16:00:41";128;noraw;1;meshliuma460
3031;WeatherStation;49387063D9374225;134;122;HUM;56.9;"2018-02-21 16:04:41";128;noraw;1;meshliuma460
3063;WeatherStation;49387063D9374225;134;128;HUM;57.2;"2018-02-21 16:08:41";128;noraw;1;meshliuma460
3110;WeatherStation;49387063D9374225;134;132;HUM;57.2;"2018-02-21 16:12:41";128;noraw;1;meshliuma460
3158;WeatherStation;49387063D9374225;134;138;HUM;57.2;"2018-02-21 16:16:41";128;noraw;1;meshliuma460
3187;WeatherStation;49387063D9374225;134;144;HUM;57.5;"2018-02-21 16:20:41";128;noraw;1;meshliuma460
3230;WeatherStation;49387063D9374225;134;149;HUM;57.9;"2018-02-21 16:24:41";128;noraw;1;meshliuma460
3274;WeatherStation;49387063D9374225;134;158;HUM;57.9;"2018-02-21 16:30:05";128;noraw;1;meshliuma460
3314;WeatherStation;49387063D9374225;134;165;HUM;58.3;"2018-02-21 16:33:41";128;noraw;1;meshliuma460
3356;WeatherStation;49387063D9374225;134;171;HUM;58.8;"2018-02-21 16:37:41";128;noraw;1;meshliuma460
3392;WeatherStation;49387063D9374225;134;176;HUM;59.3;"2018-02-21 16:41:41";128;noraw;1;meshliuma460
3442;WeatherStation;49387063D9374225;134;183;HUM;59.6;"2018-02-21 16:45:41";128;noraw;1;meshliuma460
3481;WeatherStation;49387063D9374225;134;189;HUM;60.3;"2018-02-21 16:49:41";128;noraw;1;meshliuma460
3514;WeatherStation;49387063D9374225;134;195;HUM;60.5;"2018-02-21 16:53:41";128;noraw;1;meshliuma460
3554;WeatherStation;49387063D9374225;134;200;HUM;60.7;"2018-02-21 16:57:41";128;noraw;1;meshliuma460
3585;WeatherStation;49387063D9374225;134;205;HUM;61.1;"2018-02-21 17:00:41";128;noraw;1;meshliuma460
3618;WeatherStation;49387063D9374225;134;211;HUM;60.6;"2018-02-21 17:04:41";128;noraw;1;meshliuma460
3656;WeatherStation;49387063D9374225;134;216;HUM;60.9;"2018-02-21 17:08:41";128;noraw;1;meshliuma460
3699;WeatherStation;49387063D9374225;134;221;HUM;61.1;"2018-02-21 17:12:41";128;noraw;1;meshliuma460
3730;WeatherStation;49387063D9374225;134;226;HUM;61.2;"2018-02-21 17:16:41";128;noraw;1;meshliuma460
3764;WeatherStation;49387063D9374225;134;231;HUM;61.8;"2018-02-21 17:20:41";128;noraw;1;meshliuma460
3807;WeatherStation;49387063D9374225;134;236;HUM;62.6;"2018-02-21 17:24:41";128;noraw;1;meshliuma460
